motif,label,predicted_occurrence_number
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 2]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 3]",1.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 4]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 5]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 6]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 2, 7]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 3]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 4]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 5]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 6]",9.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 3, 7]",8.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 4]",52.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 5]",13.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 6]",35.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 4, 7]",22.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 5]",32.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 6]",16.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 5, 7]",22.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 6, 6]",9.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 6, 7]",3.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[1, 7, 7]",2.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 2, 2]",2.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 2, 3]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 2, 4]",6.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 2, 5]",3.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 2, 6]",8.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 2, 7]",5.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 3, 3]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 3, 4]",17.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 3, 5]",5.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 3, 6]",37.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 3, 7]",5.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 4, 4]",33.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 4, 5]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 4, 6]",35.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 4, 7]",14.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 5, 5]",21.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 5, 6]",21.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 5, 7]",19.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 6, 6]",11.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 6, 7]",10.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[2, 7, 7]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 3, 3]",15.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 3, 4]",31.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 3, 5]",10.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 3, 6]",49.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 3, 7]",9.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 4, 4]",71.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 4, 5]",45.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 4, 6]",73.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 4, 7]",42.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 5, 5]",49.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 5, 6]",53.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 5, 7]",30.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 6, 6]",60.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 6, 7]",32.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[3, 7, 7]",0.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 4, 4]",1075.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 4, 5]",1045.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 4, 6]",1080.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 4, 7]",1073.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 5, 5]",437.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 5, 6]",360.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 5, 7]",343.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 6, 6]",261.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 6, 7]",150.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[4, 7, 7]",30.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[5, 5, 5]",310.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[5, 5, 6]",244.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[5, 5, 7]",260.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[5, 6, 6]",93.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[5, 6, 7]",85.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[5, 7, 7]",43.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[6, 6, 6]",78.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[6, 6, 7]",102.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[6, 7, 7]",19.0
"IGRAPH U--- 3 3 --
+ attr: type (g), label (v), label (e)
+ edges:
0--1 0--2 1--2","[7, 7, 7]",3.0
